expiration,number_of_quotes,monotonicity_violations,convexity_violations
2023-09-08,157,0,0
2023-09-11,146,0,0
2023-09-12,103,0,0
2023-09-13,108,0,0
2023-09-14,100,0,0
2023-09-15,273,0,9
2023-09-18,132,0,0
2023-09-19,93,0,0
2023-09-20,102,0,0
2023-09-21,81,0,0
2023-09-22,160,0,0
2023-09-25,104,0,0
2023-09-26,43,0,2
2023-09-29,313,0,0
2023-10-02,43,0,0
2023-10-06,103,0,0
2023-10-13,67,0,0
2023-10-20,275,0,25
2023-10-31,303,0,0
2023-11-17,258,0,33
2023-11-30,279,0,0
2023-12-15,223,0,24
2023-12-29,292,0,0
2024-01-19,185,0,8
2024-01-31,132,0,0
2024-02-16,169,0,0
2024-03-15,79,0,0
2024-03-28,85,0,0
2024-04-19,76,0,0
2024-05-17,77,0,0
2024-06-21,87,0,0
2024-06-28,80,0,0
2024-07-19,93,0,0
2024-08-16,94,0,0
2024-09-20,86,0,0
2024-12-20,43,0,0
2025-06-20,48,0,0
