lambda,weighted_data_misfit,weighted_rmse,regularization_penalty,objective,effective_degrees_of_freedom,gcv,correction_norm,synthetic_surface_rmse
0.1,47.291424546878154,0.778652884604922,5.519614120907565,47.84338595896891,42.80722752702537,2.97831093185016,15.765030038943333,0.7996076680972136
0.31622776601683794,47.76611742135553,0.7825510339821994,2.9264835626401315,48.69155278065422,41.69193766575371,2.82623584253092,11.203311856308812,0.3291853703344349
1.0,48.71448842311486,0.7902814203644594,1.23661279428406,49.951101217398914,40.31950823130536,2.67620652078435,6.867203179634295,0.13509835507617482
3.1622776601683795,50.082694078764085,0.8013025780082181,0.4377844711481077,51.46709013184437,38.62343690080619,2.5194553804737336,4.012130877310303,0.06348305584427666
10.0,51.463406167702594,0.8122728966057464,0.1764065395741378,53.22747156344397,36.395662254344685,2.3190809218537485,2.7763461760576558,0.042256421711880876
31.622776601683793,52.96162628141542,0.8240116557040289,0.08989450967906071,55.80434027871426,33.433230204206986,2.079857593320915,2.2059833299851057,0.03225741537214648
100.0,55.4009480201774,0.8427743258792645,0.04656360823675639,60.05730884385304,29.708824326683654,1.8530035093749775,1.7388628784222575,0.02441504700904953
316.2277660168379,59.75978821620384,0.8753005946399056,0.022001326489445368,66.71721854136823,25.423777212986494,1.686261359486287,1.3560654937169243,0.018397058896511373
1000.0,66.66833247054328,0.924511877241613,0.009468478842580076,76.13681131312336,20.90912526632647,1.5954411922899838,1.0657053845856292,0.013628079875592808
3162.2776601683795,75.50947286017359,0.9839055670510358,0.004295765860067475,89.09387727277897,16.562481528081744,1.5603740158610275,0.8568813736315771,0.010080071018601165
10000.0,86.08715958925765,1.0505624841938774,0.002353217971090749,109.61933930016514,12.640310078931893,1.571856933387252,0.7246932777938837,0.00828253399796517
31622.776601683792,101.85296657772972,1.1427192410286298,0.001464679884499593,148.17021135824035,9.287817480254022,1.6826771560630505,0.6375461833924873,0.007983305114484007
100000.0,131.2563129555326,1.2972175002749726,0.0009440911718632878,225.66543014186138,6.57191943096293,2.0066740922325117,0.5694153429527198,0.008347592101964296
