lambda,weighted_data_misfit,weighted_rmse,regularization_penalty,objective,effective_degrees_of_freedom,gcv,correction_norm
0.1,84.5192827299708,0.7883307137178924,9.74534870282405,85.49381760025321,60.5193343389209,2.017545176144875,30.476315168102325
0.31622776601683794,85.52742887442386,0.7930183815577106,3.629016850447538,86.67502476587835,58.932437237450856,1.958398533621394,17.980526615493574
1.0,86.59251338852539,0.7979408858233604,1.6875821719015818,88.28009556042697,56.85087672097246,1.8798666208362436,11.145313199100622
3.1622776601683795,88.15468164031742,0.8051063212593389,0.7934367764791765,90.66374903333353,54.09133905323252,1.7870003499928147,6.922268194653663
10.0,90.46937570128554,0.8156077475132089,0.3750513958312185,94.21988965959773,50.43364274575105,1.6804841271213808,4.5674334996108
31.622776601683793,93.96671986617734,0.831223052929773,0.1752862772713545,99.50975865367019,45.76959505720076,1.5696656792903372,3.3459022140493637
100.0,99.08557244344237,0.8535633459875996,0.08229481961448286,107.31505440489066,40.20043160714875,1.4683251115259301,2.6912768809133802
316.22776601683796,106.34465061752216,0.884277083511134,0.04062397294430525,119.19107882842827,34.18204106282842,1.3951014286949717,2.301012151933166
1000.0,116.68178415529349,0.9262582227756528,0.021793281724892172,138.47506588018567,28.24946336589462,1.366794070428545,2.0147136932419873
3162.2776601683795,129.5557296662677,0.9760203170584062,0.014239695750983748,174.58560142719818,22.664335398464644,1.3717101166357704,1.8230337595844504
10000.0,144.68930973180778,1.0314513964904581,0.011469931930680667,259.38862903861445,17.609015115617893,1.4039061814760194,1.7017455514010347
31622.776601683792,173.71337713906706,1.1301788547259282,0.009898717193042382,486.73829957789275,13.172358096352125,1.5659574002179615,1.5923266969091254
100000.0,272.51622174609423,1.4155549258623086,0.008267896445845368,1099.305866330631,9.411445968493743,2.3128229556546174,1.4538420518133535
