number_of_evaluation_points,rmse,mae,maximum_absolute_error,bias,seed,method,shared_valid_fraction
121,0.031018262123720407,0.017092555841138984,0.14535540175766154,-0.007363578794712324,0,raw_dupire,0.8897058823529411
121,0.01985876876425419,0.01259156643161338,0.0852072922817228,-0.0008788315566854406,0,smoothed_dupire,0.8897058823529411
121,0.013345072631463294,0.007920780767406212,0.05697389619035498,0.0043373669875224445,0,ssvi_dupire,0.8897058823529411
121,0.0074801357778592325,0.005170281650622188,0.028821333297785523,0.0036300206134013743,0,operator_regularized_linearized,0.8897058823529411
122,0.04464241001613584,0.023352888742915644,0.23173605168245315,-0.0015186707751932676,1,raw_dupire,0.8970588235294118
122,0.024861200460464666,0.01266348272227177,0.2004130511809171,0.00212406321939557,1,smoothed_dupire,0.8970588235294118
122,0.011726894613893351,0.007417958563614606,0.05079107241221753,0.0036125051959112735,1,ssvi_dupire,0.8970588235294118
122,0.007944751752783202,0.005436624088480268,0.03768858252533752,0.0032497510235672076,1,operator_regularized_linearized,0.8970588235294118
122,0.03441442410240333,0.019929777008178346,0.15236768138588852,-0.007638632972988037,2,raw_dupire,0.8970588235294118
122,0.08047502384382367,0.019430157880341775,0.8553474309659128,0.00917500743191794,2,smoothed_dupire,0.8970588235294118
122,0.014646806242439508,0.008412815782284701,0.0642981259586749,0.004374118183098332,2,ssvi_dupire,0.8970588235294118
122,0.009710256148605633,0.006189656189270345,0.04231851129233949,0.004215125683950821,2,operator_regularized_linearized,0.8970588235294118
119,0.027604370142767856,0.015754284416951297,0.14995669250146315,0.00029978845643765395,3,raw_dupire,0.875
119,0.06219830385569852,0.01761251216467497,0.6359605276516027,0.010299703017631346,3,smoothed_dupire,0.875
119,0.011290803240302502,0.0071520115573358595,0.047910255602500895,0.003484600060679536,3,ssvi_dupire,0.875
119,0.007903392179249553,0.005560969608362864,0.029549873313310993,0.003300542068521283,3,operator_regularized_linearized,0.875
117,0.07243060554944611,0.026128603397378103,0.6682914132353124,-0.003031237283166859,4,raw_dupire,0.8602941176470589
117,0.01972295182366324,0.012059331186448892,0.09418582239688483,-0.0022394585614732045,4,smoothed_dupire,0.8602941176470589
117,0.011490012697546112,0.0073449162692727854,0.05632173218885389,0.0038919677042182463,4,ssvi_dupire,0.8602941176470589
117,0.008092230414303314,0.0060012113163988665,0.030857541370514746,0.00453785598125019,4,operator_regularized_linearized,0.8602941176470589
119,0.043324192398713025,0.021467759033792937,0.25052269436463587,-0.010252513933965866,5,raw_dupire,0.875
119,0.01693655471058815,0.011477571499785412,0.06534223673613976,-0.0016285045146974086,5,smoothed_dupire,0.875
119,0.013583248080479003,0.0077585260666355295,0.08336023137543697,0.003692393562145486,5,ssvi_dupire,0.875
119,0.007727109925426798,0.005625951859069138,0.029086658068262605,0.0030387265441335198,5,operator_regularized_linearized,0.875
120,0.06170016448421683,0.026006931384622615,0.44143257456458596,-0.0008055311601311441,6,raw_dupire,0.8823529411764706
120,0.028601410667113705,0.014664437313830093,0.14784447970896925,-0.0028104295470863867,6,smoothed_dupire,0.8823529411764706
120,0.012732681854755488,0.0076069694337695965,0.05440470718592105,0.003834953208559517,6,ssvi_dupire,0.8823529411764706
120,0.0060571055858496085,0.004515368954200221,0.021637625666112187,0.0023978068467210402,6,operator_regularized_linearized,0.8823529411764706
119,0.05240673312804957,0.021822194014429586,0.41274832710082254,-0.0017097157506946689,7,raw_dupire,0.875
119,0.03072542202658749,0.014198737993479442,0.21948555757091373,0.00577151135774457,7,smoothed_dupire,0.875
119,0.010909736141770564,0.006902053788466489,0.05019183072008099,0.0024581470635497266,7,ssvi_dupire,0.875
119,0.006344606029769631,0.00483083171949163,0.020324041966120282,0.002682822847183582,7,operator_regularized_linearized,0.875
123,0.03717432726837705,0.02052038189245174,0.17655098555829848,-0.00819626901609212,8,raw_dupire,0.9044117647058824
123,0.05541733232890862,0.0200214653254547,0.4832289366616387,0.0018757873858832143,8,smoothed_dupire,0.9044117647058824
123,0.0134892889572179,0.00818491021548872,0.05948622132458481,0.004511203784509808,8,ssvi_dupire,0.9044117647058824
123,0.007559255271208723,0.005016178449536437,0.03324392449011723,0.0037125537843098505,8,operator_regularized_linearized,0.9044117647058824
121,0.0586479066862894,0.02708098079099994,0.44653762836469146,-0.004980257282902497,9,raw_dupire,0.8897058823529411
121,0.020731015727000954,0.013087487873535763,0.11550418715193644,-0.002224426778339772,9,smoothed_dupire,0.8897058823529411
121,0.014906089430809816,0.008501417492340206,0.06311417935741381,0.004911776009382594,9,ssvi_dupire,0.8897058823529411
121,0.0070504001692965465,0.004960100186683996,0.02247602913222896,0.0032945583286052905,9,operator_regularized_linearized,0.8897058823529411
